序号,检测编号,Mg,Al,Fe,Co,Ni,Cu,Zn,Ga,Ag,In,Sn,Bi,求和,备注,密度 (g/cm3),热导率W/(m*K),电导率（S/m）,硬度（HB）,粘度 (Pa.s)
1,S20200420.02-01（1-10）,0,0,10,0,0,0,14.4,64.8,0,10.8,0,0,100,,6.14,,,,0.02143
2,S20200420.02-02（1-15）,0,0,15,0,0,0,13.6,61.2,0,10.2,0,0,100,,5.77,,,,0.06198
3,S20200420.02-03（1-20）,0,0,20,0,0,0,12.8,57.6,0,9.6,0,0,100,,5.73,,,,0.06986
4,S20200420.02-04（1-25）,0,0,25,0,0,0,12,54,0,9,0,0,100,,5.88,,,,0.18326
5,S20200420.02-05（2-10）,0,0,10,0,0,0,0.9,54.9,0,22.5,11.7,0,100,,6.19,,,,0.01734
6,S20200420.02-06（2-15）,0,0,15,0,0,0,0.85,51.85,0,21.25,11.05,0,100,,5.88,,,,0.08377
7,S20200420.02-07（2-20）,0,0,20,0,0,0,0.8,48.8,0,20,10.4,0,100,,5.74,,,,0.17393
8,S20200420.02-08（2-25）,0,0,25,0,0,0,0.75,45.75,0,18.75,9.75,0,100,,5.22,,,,0.45920
9,S20200420.02-09（3-10）,0,0,10,0,0,0,3.6,60.3,0,26.1,0,0,100,,6,,,,0.02648
10,S20200420.02-10（3-15）,0,0,15,0,0,0,3.4,56.95,0,24.65,0,0,100,,5.8,,,,0.13136
11,S20200420.02-11（3-20）,0,0,20,0,0,0,3.2,53.6,0,23.2,0,0,100,,5.6,,,,0.18298
12,S20200420.02-12（3-25）,0,0,25,0,0,0,3,50.25,0,21.75,0,0,100,,5.31,,,,0.57803
13,S20200509.01-01,0,0,0,0,0,0,16,72,0,12,0,0,100,,6.29,27.4,3370000,,0.05800
14,S20200509.01-04,0,0,0,0,0,0,1,61,0,25,13,0,100,,6.45,25.22,3380000,,0.00669
15,S20200509.01-07,0,0,0,0,0,0,4,67,0,29,0,0,100,,6.37,26.48,3600000,,0.00597
16,S20200605.02-01（10%Ni）,0,0,0,0,10,0,0.9,54.9,0,22.5,11.7,0,100,,6.46,,,,0.00989
17,S20200605.02-02（15%Ni）,0,0,0,0,15,0,0.85,51.85,0,21.25,11.05,0,100,,6.46,,,,0.01214
18,S20200605.02-03 （20%Ni）,0,0,0,0,20,0,0.8,48.8,0,20,10.4,0,100,,6.25,,,,0.03858
19,S20200605.02-04,0,0,0,10,0,0,0.9,54.9,0,22.5,11.7,0,100,,4.96,,,,
20,S20200605.02-05,0,0,0,15,0,0,0.85,51.85,0,21.25,11.05,0,100,,4.38,,,,
21,S20200605.02-06,0,0,0,20,0,0,0.8,48.8,0,20,10.4,0,100,,3.77,,,,
22,20200219-02,0,0,0,0,0,0,0,0,0,59,21,20,100,,,,,,
23,S20200325.01-01,0,0,0,0,0,0,0,0,0,80,5,15,100,,,,,,
24,20200217-1,0,0,0,0,0,0,0,0,0,60.3,19.5,20.2,100,,,,,,
25,S20200325.01-02,0,0,0,0,0,0,0,0,0,62,18,20,100,,,,,,
26,S20200325.01-03,0,0,0,0,0,0,0,0,0,63.5,16.5,20,100,,,,,,
27,S20200325.01-04,0,0,0,0,0,0,0,0,0,65,15,20,100,,,,,,
28,20200212-1,0,0,0,0,0,0,2.4,0,0,32.2,35,30.4,100,,,,,,
29,S20200320.02-01,0,0,0,0,0,0,0,0,0,51.5,17.5,31,100,,,,,,
30,20200213-2,0,0,0,0,0,0,2.4,0,0,32,30.3,35.3,100,,,,,,
31,20200213-1,0,0,0,0,0,0,2.4,0,0,30,32.6,35,100,,,,,,
32,S20200120.01-01,0,0,0,0,0,0,0.4,0,0,56.7,25.9,17,100,,,,,,
33,S20200120.02-01,0,0,0,0,0,0,0.4,0,0,53.8,30.8,15,100,,,,,,
34,S20200120.03-01,0,0,0,0,0,0,2.4,0,0,35.4,35,27.2,100,,,,,,
35,20200219-03,0,0,0,0,0,0,0,0,0.6,58.6,20.9,19.9,100,,,,,,
36,20200219-04,0,0,0,0,0,0,0,0,0,44.55,39.09,16.36,100,,,,,,
37,S20200325.01-04,0,0,0,0,0,0,0,0,0,60,19,21,100,,,,,,
38,S20200211-Bi26.2,0,0,0,0,0,0,3.6,0,0,35.2,35,26.2,100,,,,,,
39,S20200211-Bi27.2,0,0,0,0,0,0,4.8,0,0,33.2,34.9,27.1,100,,,,,,
40,S20200214-Bi34.5,0,0,0,0,0,0,3,0,0,29.5,33,34.5,100,,,,,,
41,S20200211-Bi35.3-1,0,0,0,0,0,0,2.4,0,0,27.2,35,35.4,100,,,,,,
42,S20200616.02-01,0,0,12.5,0,0,0,0.875,53.375,0,21.875,11.375,0,100,,6.23,,,,0.01915
43,S20200616.02-02,0,0,17.5,0,0,0,0.825,50.325,0,20.625,10.725,0,100,,6.13,,,,0.16476
44,S20200616.02-03,0,0,0,0,12.5,0,0.875,53.375,0,21.875,11.375,0,100,,6.62,,,,0.02196
45,S20200616.02-04,0,0,0,0,17.5,0,0.825,50.325,0,20.625,10.725,0,100,,6.68,,,,0.05702
46,20190523-03,0,0,0,0,0,0,0,0,0,0,42,58,100,,,,,,
47,20190322-01,0,0,0,0,0,0,0,0,0.5,58.7,18.7,22.1,100,,,,,,
48,20180710-02-LED,0,0,0,0,0,0,1.8,0,0,51.7,46,0.5,100,,,,,,
49,20180514-S-I-6,0,0,0,0,0,0,0,0,0,52,48,0,100,,,,,,
50,20180514-S-I-3,0,0,0,0,0,1.5,0,0,0,0,98.5,0,100,,,,,,
51,20180608-01-InAg3.2,0,0,0,0,0,0,0,0,3.2,96.8,0,0,100,,,,,,
52,20181101-01,0,0,0,0,0,0,4.5,0,0,0,93.5,2,100,,,,,,
53,20181213-01,0,0,0,0,0,1.3,0,0,0,51,16.5,31.2,100,,,,,,
54,2018-12-26,0,0,0,0,0,0,1,0,0,56,31,12,100,,,,,,
55,2018-12-26-2,0,0,0,0,0,0,3.6,0,0,35.4,49,12,100,,,,,,
56,20181226-01,0,10,0,0,0,0,0,0,0,53.1,18.9,18,100,,,,,,
57,20190827-04,0,0,0,0,0,0,4,0,0,15,81,0,100,,,,,,
58,20190828-01,0,0,0,0,0,0,4,0,0,30,66,0,100,,,,,,
59,20190829-04,0,0,0,0,0,0,0,0,0,30,70,0,100,,,,,,
60,20190828-03,0,0,0,0,0,0,5,0,0,15,80,0,100,,,,,,
61,S20190528-09-01,0,0,0,0,0,0,0,0,0.5,58.7,18.7,22.1,100,,7.74,,2890000,,
62,S20190528-09-02,0,0,0,0,0,0,0,0,3.2,96.8,0,0,100,,,,10330000,,
63,S20190528-09-03,0,0,0,0,0,1.5,0,0,0,0,98.5,0,100,,7.19,,9020000,,
64,S20190528-09-04,0,0,0,0,0,0,1.8,0,0,51.7,46,0.5,100,,,,5040000,,
65,S20190528-09-05,0,0,0,0,0,0,4.5,0,0,0,93.5,2,100,,7.24,,8650000,,
66,S20190528-09-06,0,0,0,0,0,0,0,0,0,52,48,0,100,,7.25,,5430000,,
67,S20190528-09-07,0,0,0,0,0,0,0,0,0,0,42,58,100,,8.58,,1930000,,
68,S20150503-01,0,0,0,0,0,0,0.4,0,0,48.6,16,35,100,,,,7310000,,
69,S20150503-02,0,0,0,0,0,0,0,0,0,49,16,35,100,,,,,,
70,S20150503-03,0,0,0,0,0,0,0,0,0,51,16.5,32.5,100,,,,,4.659,
71,S20150503-04,0.5,0,0,0,0,0,0,0,0,50.7,16.5,32.3,100,,,,,4.934,
72,S20150503-05,0,1,0,0,0,0,0,0,0,50.5,16.3,32.2,100,,,,,5.289,
73,S20150503-06,0,0,0,0,0,1.3,0,0,0,51,16.5,31.2,100,,,,,,
74,S20150503-07,0,0,0,0,0,0,1,0,0,56,31,12,100,,,,,4.058,
18,S20150503-08,0,10,0,0,0,0,0,0,0,53.1,18.9,18,100,,,,,12,
76,S20150503-09,0,0,0,0,0,0,3.6,0,0,35.4,49,12,100,,,,,15.34,
77,S20150503-10,0,4.76,0,0,0,0,6.67,0,0,0,88.57,0,100,,6.13,,,24.87,
78,S20150503-11,0,0,0,0,0,0,7,0,0,0,93,0,100,,6.83,,,23.25,
79,S20150503-12,4.76,0,0,0,0,0,6.67,0,0,0,88.57,0,100,,6.07,,,37.19,
80,S20150503-13,0,0,0,0,0,0,7,0,0,10,83,0,100,,,,,18.63,
81,S20150503-14,0,0,0,0,0,0,7,0,0,5,88,0,100,,,,,17.71,
82,S20150503-15,0,0,0,0,0,0,7,0,0,15,78,0,100,,,,,,
83,S20150503-16,0,0,0,0,0,0,4,0,0,15,81,0,100,,,,,,
84,S20150503-17,0,0,0,0,0,0,4,0,0,30,66,0,100,,,,,,
85,S20150503-18,0,0,0,0,0,0,0,0,0,30,70,0,100,,,,,,
86,S20150503-19,0,0,0,0,0,0,5,0,0,15,80,0,100,,,,,,
87,S20150501-01-01,0,0,0,0,0,0,0,62,0,25,13,0,100,,6.45,26.08,3390000,,
88,S20150501-01-02,0,0,0,0,0,0,0,68.5,0,21.5,10,0,100,,6.38,26.04,3450000,,
89,S20150501-01-03,0,0,0,0,0,0,0,62.5,0,21.5,16,0,100,,6.42,25.63,3360000,,
90,S20150501-01-04,0,0,0,0,0,0,0,75.5,0,24.5,0,0,100,,6.31,26.73,3600000,,
91,S20150501-01-05,0,0,0,0,0,0,2.9,86.3,0,0,10.8,0,100,,6.2,27.38,3650000,,
92,S20150501-01-06,0,0,0,0,0,0,0,86.5,0,0,13.5,0,100,,6.2,27.97,3650000,,
93,S20150501-01-07,0,0,0,0,0,0,3.6,96.4,0,0,0,0,100,,6.1,28.49,3780000,,
94,S20150501-02-01,0,0,0,0,0,0,0,100,0,0,0,0,100,镓,5.91,29.4,2200000,,
95,S20150501-02-02,0,0,0,0,0,0,0,0,0,100,0,0,100,铟,7.31,86,11600000,,
96,S20150501-02-03,0,0,0,0,0,0,0,0,0,0,100,0,100,锡,7.28,73,9200000,,
97,S20150501-02-04,0,0,0,0,0,0,0,0,0,0,0,100,100,铋,9.8,7.97,,,
